Name,Rewards,RewardAmounts,MinRound,MaxRound,Probabilities,LimitPerRound,Tags,MinXPLevel,MaxXPLevel
,Toffee,5,,,5,1,product;candy,71,9999
,Chocolate,2,,,5,1,product;candy,71,9999
,Lollipop,2,,,5,1,product;candy,71,9999
,Jelly Beans,2,,,4,1,product;candy,71,9999
,CandiedPeanuts,9,,,5,1,product;candy,71,9999
,Cotton Candy,4,,,5,1,product;candy,71,9999
,SesameBrittle,5,,,5,1,product;candy,71,9999
,Apple Jam,5,,,5,1,product;jam,71,9999
,Raspberry Jam,4,,,5,1,product;jam,71,9999
,Blackberry Jam,3,,,5,1,product;jam,71,9999
,Cherry Jam,3,,,5,1,product;jam,71,9999
,Strawberry Jam,4,,,5,1,product;jam,71,9999
,Blueberry Chutney,15,,,5,1,product;jam,71,9999
,Marmelade,2,,,4,1,product;jam,71,9999
,Honey,19,,,5,1,product;honey,71,9999
,Beeswax,12,,,5,1,product;honey,71,9999
,SoySauce,6,,,5,1,product;sauce,71,9999
,Bean Dip,15,,,5,1,product;sauce,71,9999
,OliveOil,3,,,5,1,product;sauce,71,9999
,Mayonaise,2,,,4,1,product;sauce,71,9999
,Lemon Curd,2,,,4,1,product;sauce,71,9999
,Olive Dip,2,,,4,1,product;sauce,71,9999
,Tomato Sauce,4,,,5,1,product;sauce,71,9999
,Fried rice,4,,,5,1,product;wok,71,9999
,Lamb Stir Fry,4,,,5,1,product;wok,71,9999
,Spicy fish,2,,,4,1,product;wok,71,9999
