Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxAlpacaAmount,MaxAlpacaHouseAmount,MaxHedgehog1Amount,MaxHedgehog2Amount,MaxHoglet1Amount,MaxHoglet2Amount,MaxHedgehogHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxLambHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,DiamondsToCoinsRateV3,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier,GoodReward4,GoodAmount4,GoodReward5,GoodAmount5,GoodReward6,GoodAmount6,MinTruckOrderValueOfDay,MaxTruckOrderValueOfDay,TargetTruckOrdersPerDay,MaxLockedOrderProducts,MaxTruckOrderMultiplier,MinPeopleQuestEffort,MaxPeopleQuestEffort,PeopleQuestDealersChoiceExpReward,PeopleQuestDealersChoiceCoinReward
412,4139000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,284,1136,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,421,431,421,421
413,4150000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,285,1140,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,422,432,422,422
414,4161000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,285,1140,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,423,433,423,423
415,4172000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,286,1144,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,424,434,424,424
416,4183000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,286,1144,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,425,435,425,425
417,4194000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,287,1148,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,426,436,426,426
418,4205000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,287,1148,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,427,437,427,427
419,4216000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,288,1152,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,428,438,428,428
420,4227000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,288,1152,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,429,439,429,429
421,4238000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,289,1156,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,430,440,430,430
422,4249000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,289,1156,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,431,441,431,431
423,4260000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,290,1160,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,432,442,432,432
424,4271000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,290,1160,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,433,443,433,433
425,4282000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,291,1164,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,434,444,434,434
426,4293000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,291,1164,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,435,445,435,435
427,4304000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,292,1168,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,436,446,436,436
428,4315000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,292,1168,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,437,447,437,437
429,4326000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,293,1172,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,438,448,438,438
430,4337000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,293,1172,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,439,449,439,439
431,4348000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,294,1176,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,440,450,440,440
432,4359000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,294,1176,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,441,451,441,441
433,4370000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,295,1180,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,442,452,442,442
434,4381000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,295,1180,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,443,453,443,443
435,4392000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,296,1184,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,444,454,444,444
436,4403000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,296,1184,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,445,455,445,445
437,4414000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,297,1188,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,446,456,446,446
438,4425000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,297,1188,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,447,457,447,447
439,4436000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,298,1192,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,448,458,448,448
440,4447000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,298,1192,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,449,459,449,449
441,4458000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,299,1196,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,450,460,450,450
442,4469000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,299,1196,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,451,461,451,451
443,4480000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,300,1200,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,452,462,452,452
444,4491000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,300,1200,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,453,463,453,453
445,4502000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,301,1204,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,454,464,454,454
446,4513000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,301,1204,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,455,465,455,455
447,4524000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,302,1208,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,456,466,456,456
448,4535000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,302,1208,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,457,467,457,457
449,4546000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,303,1212,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,458,468,458,458
450,4557000,FreeDiamonds,50,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,303,1212,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,459,469,459,459
451,4568000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,304,1216,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,460,470,460,460
452,4579000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,304,1216,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,461,471,461,461
453,4590000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,305,1220,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,462,472,462,462
454,4601000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,305,1220,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,463,473,463,463
455,4612000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,306,1224,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,464,474,464,464
456,4623000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,306,1224,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,465,475,465,465
457,4634000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,307,1228,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,466,476,466,466
458,4645000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,307,1228,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,467,477,467,467
459,4656000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,308,1232,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,468,478,468,468
460,4667000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,308,1232,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,469,479,469,469
461,4678000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,309,1236,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,470,480,470,470
462,4689000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,309,1236,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,471,481,471,471
463,4700000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,310,1240,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,472,482,472,472
464,4711000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,310,1240,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,473,483,473,473
465,4722000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,311,1244,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,474,484,474,474
466,4733000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,311,1244,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,475,485,475,475
467,4744000,FreeDiamonds,20,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,312,1248,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,476,486,476,476
468,4755000,FreeDiamonds,20,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,312,1248,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,477,487,477,477
