Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryWorkbenchMigrationLevel,BuildingMasteryEnabled,PendingRelease,SeasonalObject,Deprecated
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Flowershop,,,,,49,0,,2,120000,,,,sc/buildings_new.sc,flowershop,flowershop_mastery,2,2,30,0,TID_FLOWERSHOP,TID_FLOWERSHOP_DESCRIPTION,FlowerShopTap,FlowerShopProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Wok_Kitchen,,,105,,69,0,,2,350000,,,,sc/buildings_new.sc,wok_kitchen,wok_kitchen_mastered,2,2,41,0,TID_WOKKITCHEN,TID_WOK_KITCHEN_DESCRIPTION,SoupKitchenTap,BarbecueTapProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,560,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2230,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fondue_Maker,,,115,,81,0,,2,800000,,,,sc/buildings_new.sc,fondue_maker,fondue_maker_mastered,2,2,44,0,TID_FONDUEMAKER,TID_FONDUE_MAKER_DESCRIPTION,SoupKitchenTap,SauceMachineTapProcessing,Collect,Buy,,90,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,340,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1360,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep_Fryer,,,105,,87,0,,2,900000,,,,sc/buildings_new.sc,deep_fryer,deep_fryer_mastered,2,2,44,0,TID_DEEP_FRYER,TID_DEEP_FRYER_DESCRIPTION,SoupKitchenTap,SauceMachineTapProcessing,Collect,Buy,,90,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1440,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath_Kiosk,,,110,,84,0,,2,850000,,,,sc/buildings_new.sc,bath_kiosk,bath_kiosk_mastered,2,2,44,0,TID_BATHKIOSK,TID_BATHKIOSK_DESCRIPTION,BathKioskTap,BathKioskTapProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Donut_Maker,,,,,76,0,,2,680000,,,,sc/buildings_new.sc,donut_maker,donut_maker_mastered,2,2,43,0,TID_DONUTMAKER,TID_DONUTMAKER_DESCRIPTION,DonutMakerTap,DonutMakerProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Preservation_Station,,,120,,91,0,,2,950000,,,,sc/buildings_new.sc,preservation_station,preservation_station_mastered,2,2,44,0,TID_PRESERVATION_STATION,TID_PRESERVATION_STATION_DESCRIPTION,DonutMakerTap,DonutMakerProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Pottery_Studio,,,105,,94,0,,2,1000000,,,,sc/buildings_new.sc,pottery_studio,pottery_studio_mastery,2,2,44,0,TID_POTTERY_STUDIO,TID_POTTERY_STUDIO_DESCRIPTION,PotteryIdle,PotteryProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Fudge_Shop,,,105,,99,0,,2,1050000,,,,sc/buildings_new.sc,fudge_shop,fudge_shop_mastered,2,2,44,0,TID_FUDGE_SHOP,TID_FUDGE_SHOP_DESCRIPTION,FudgeShopIdle,FudgeShopProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,FALSE,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoghurt_Maker,,,110,,103,0,,2,1100000,,,,sc/buildings_new.sc,yogurt_maker,yogurt_maker_mastered,2,2,44,0,TID_YOGURT_MAKER,TID_YOGURT_MAKER_DESCRIPTION,FudgeShopIdle,FudgeShopProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,FALSE,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Stew_Pot,,,115,,106,0,,2,1150000,,,,sc/buildings_new.sc,stew_pot,stew_pot_mastery,2,2,44,0,TID_STEW_POT,TID_STEW_POT_DESCRIPTION,SoupKitchenTap,SauceMachineTapProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupcake_Maker,,,115,,109,0,,2,1200000,,,,sc/buildings_new.sc,cupcake_maker,cupcake_maker_mastered,2,2,44,0,TID_CUPCAKE_MAKER,TID_CUPCAKE_MAKER_DESCRIPTION,SoupKitchenTap,SauceMachineTapProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift_Wrapping_Station,,,,,1,,,2,10,,,,sc/buildings_new.sc,giftwrapping_station,giftwrapping_station_mastered,2,2,3,0,TID_GIFT_WRAPPING_STATION,TID_GIFT_WRAPPING_STATION_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,200,10,BoatExp,432,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,400,-10,SpeedUp,540,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,600,20,BoatExp,648,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Waffle_Maker,,,110,,114,0,,2,1250000,,,,sc/buildings_new.sc,wafflemaker,wafflemaker_mastered,2,2,44,0,TID_WAFFLE_MAKER,TID_WAFFLE_MAKER_DESCRIPTION,SoupKitchenTap,SauceMachineTapProcessing,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter_Egg_Maker,,,,,1,,,2,10,,,,sc/buildings_new.sc,easteregg_machine,easteregg_machine_mastery,2,2,3,0,TID_EASTER_EGG_MAKER,TID_EASTER_EGG_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,150,10,BoatExp,30,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,300,-10,SpeedUp,40,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,600,20,BoatExp,60,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Omelet_Maker,,,,,77,0,,2,600000,,,,sc/buildings_new.sc,omelet_station,omelet_station_mastered,2,2,41,0,TID_OMELET_MAKER,TID_OMELET_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Porridge_Bar,,,120,,119,0,,2,1300000,,,,sc/buildings_new.sc,porridge_bar,porridge_bar_mastered,2,2,44,0,TID_PORRIDGE_BAR,TID_PORRIDGE_BAR_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift_Wrapping_Station_2023,,,,,1,,,2,10,,,,sc/buildings_new.sc,giftwrapping_station_2023,giftwrapping_station_mastered_2023,2,2,3,0,TID_GIFT_WRAPPING_STATION,TID_GIFT_WRAPPING_STATION_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,200,10,BoatExp,432,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,400,-10,SpeedUp,540,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,600,20,BoatExp,648,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Milkshake_Bar,,,110,,124,0,,2,1350000,,,,sc/buildings_new.sc,milkshake_bar,milkshake_bar_mastery,2,2,44,0,TID_MILKSHAKE_BAR,TID_MILKSHAKE_BAR_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,140,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,550,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,2180,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter_Egg_Maker_2024,,,,,1,,,2,10,,,,sc/buildings_new.sc,easteregg_machine_2024,easteregg_machine_mastery_2024,2,2,3,0,TID_EASTER_EGG_MAKER,TID_EASTER_EGG_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,40,10,BoatExp,30,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,80,-10,SpeedUp,40,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,160,20,BoatExp,60,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Essentials_Oil_Lab,,,110,,68,0,,2,85000,,,,sc/buildings_new.sc,essential_oil_lab,essential_oil_lab_mastery,2,2,44,0,TID_ESSENTIALS_OIL_LAB,TID_ESSENTIALS_OIL_LAB_DESCRIPTION,EssentialOilLabTap,EssentialOilLabProcessing,Collect,Buy,,70,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,270,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1080,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthday_Balloon_Maker_2024,,,,,1,,,2,10,,,,sc/buildings_new.sc,balloon_maker,balloon_maker_mastery,2,2,3,0,TID_BIRTHDAY_BALLOON_MAKER,TID_BIRTHDAY_BALLOON_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,20,,TRUE,,TRUE,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,240,40,BoatExp,100,,,,,
,,,,,,,,,36,,,,,,,,,,,,,,,,,,380,100,BoatExp,250,,,,,
,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween_Candy_Maker_2024,,,,,1,,,2,10,,,,sc/buildings_new.sc,halloween_candy_shop,halloween_candy_shop_mastery,2,2,3,0,TID_HALLOWEEN_CANDY_MAKER,TID_HALLOWEEN_CANDY_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,10,,TRUE,,TRUE,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,240,40,BoatExp,50,,,,,
,,,,,,,,,36,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift_Wrapping_Station_2024,,,,,1,,,2,10,,,,sc/buildings_new.sc,giftwrapping_station_2024,giftwrapping_station_mastered_2024,2,2,3,0,TID_GIFT_WRAPPING_STATION,TID_GIFT_WRAPPING_STATION_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,10,,TRUE,,TRUE,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,240,40,BoatExp,50,,,,,
,,,,,,,,,36,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfumerie,,,110,,110,0,,2,1000000,,,,sc/buildings_new.sc,perfumerie,perfumerie_mastery,2,2,44,0,TID_PERFUMERIE,TID_PERFUMERIE_DESCRIPTION,PerfumerieTap,PerfumerieProcessing,Collect,Buy,,80,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,310,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1230,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Easter_Egg_Maker_2025,,,,,1,,,2,10,,,,sc/buildings_new.sc,easteregg_machine_2025,easteregg_machine_mastery_2025,2,2,3,0,TID_EASTER_EGG_MAKER,TID_EASTER_EGG_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,40,10,BoatExp,30,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,80,-10,SpeedUp,40,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,160,20,BoatExp,60,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthday_Balloon_Maker_2025,,,,,1,,,2,10,,,,sc/buildings_new.sc,balloon_maker_2025,balloon_maker_mastery_2025,2,2,3,0,TID_BIRTHDAY_BALLOON_MAKER,TID_BIRTHDAY_BALLOON_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,10,,TRUE,,TRUE,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,240,40,BoatExp,50,,,,,
,,,,,,,,,36,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Halloween_Candy_Maker_2025,,,,,1,,,2,10,,,,sc/buildings_new.sc,halloween_candy_shop_2025,halloween_candy_shop_2025_mastery,2,2,3,0,TID_HALLOWEEN_CANDY_MAKER,TID_HALLOWEEN_CANDY_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,-50,SpeedUp,10,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,240,50,BoatExp,50,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Gift_Wrapping_Station_2025,,,,,1,,,2,10,,,,sc/buildings_new.sc,giftwrapping_station_2025,giftwrapping_station_mastered_2025,2,2,3,0,TID_GIFT_WRAPPING_STATION,TID_GIFT_WRAPPING_STATION_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,10,,TRUE,,TRUE,
,,,,,,,,,20,,,,,,,,,,,,,,,,,,240,40,BoatExp,50,,,,,
,,,,,,,,,32,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
Doner_Kebab_Stand,,,105,,32,0,,2,22000,,,,sc/buildings_new.sc,doner_kebab_stand,doner_kebab_stand_mastered,2,2,44,0,TID_DONER_KEBAB_STAND,TID_DONER_KEBAB_STAND_DESCRIPTION,KebabStandTap,KebabStandProcessing,Collect,Buy,,90,10,Coin,145,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,370,5,Exp,277,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1480,-15,SpeedUp,515,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthday_Balloon_Maker_2026,,,,,1,,,2,10,,,,sc/buildings_new.sc,balloon_maker_2026,balloon_maker_mastery_2026,2,2,3,0,TID_BIRTHDAY_BALLOON_MAKER,TID_BIRTHDAY_BALLOON_MAKER_DESCRIPTION,BakeryTap,SelectBakeryInProgress,Collect,Buy,,48,10,BoatExp,10,,TRUE,,TRUE,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,240,40,BoatExp,50,,,,,
,,,,,,,,,36,,,,,,,,,,,,,,,,,,380,100,BoatExp,125,,,,,
,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
