Name,TID,SubtitleString,FileName,ExportName,AmbianceExportName,IntroSound,IconDeco,Year,UnlockLevel,PendingRelease,Deco1,Deco2,Deco3,Deco4,Deco5,Deco6,Deco7,Deco8,Deco9,Deco10,Deco11,Deco12,Deco13,Deco14,Deco15,Deco16,Deco17,Deco18,Deco19,Deco20
Collection97,TID_DECO_STICKER_BOOK_COLLECTION_97,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection98,TID_DECO_STICKER_BOOK_COLLECTION_98,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection99,TID_DECO_STICKER_BOOK_COLLECTION_99,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection100,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection101,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection102,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection103,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection104,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection105,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection106,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection107,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection108,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection109,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection110,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection111,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection112,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection113,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection114,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection115,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection116,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection117,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection118,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection119,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection120,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection121,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection122,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection123,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection124,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection125,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection126,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection127,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection128,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection129,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection130,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection131,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection132,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection133,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection134,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection135,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection136,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection137,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection138,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection139,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection140,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection141,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection142,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection143,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection144,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection145,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection146,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection147,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection148,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection149,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection150,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection151,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection152,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection153,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection154,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection155,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection156,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection157,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection158,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection159,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection160,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection161,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection162,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection163,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection164,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection165,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection166,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection167,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection168,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection169,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection170,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection171,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection172,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection173,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection174,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection175,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection176,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection177,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection178,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection179,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection180,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection181,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection182,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection183,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection184,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection185,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection186,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection187,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection188,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection189,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection190,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection191,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection192,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection193,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection194,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection195,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection196,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection197,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection198,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection199,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection200,TID_DECO_STICKER_BOOK_COLLECTION_100,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
